"date","province","cc_mean_vote_share","dgm_mean_vote_share","pdal_mean_vote_share","ssp_mean_vote_share","cc_prob_win","dgm_prob_win","pdal_prob_win","ssp_prob_win"
2024-04-02,"Amperville",0.10715093162,0.2546314505,0.638217617,0,0.004,0.066,0.93,0
2024-04-02,"Binaryshire",0.8697671713,0.0469999387949,0.08323288713,0,0.983,0.012,0.005,0
2024-04-02,"Byteforge Domain",0.4201337257,0.16495367427,0.4149125994,0,0.488,0.059,0.453,0
2024-04-02,"Cerebrica",0.339443346,0.2079786631,0.2646779112,0.1879000906,0.525,0.141,0.267,0.067
2024-04-02,"Circuiton",0.1225162456,0.498613049,0.378870723,0,0,0.799,0.201,0
2024-04-02,"Cortexia",0.1161658329,0.227887748,0.294208292,0.361738153,0,0.025,0.227,0.748
2024-04-02,"Electropolis",0.2382465888,0.538959596,0.2227938227,0,0.077,0.91,0.013,0
2024-04-02,"Infinitron Peninsula",0.6162406252,0.21220722053,0.1715521294,0,0.854,0.132,0.014,0
2024-04-02,"Infoglen",0.315475841,0.350454231,0.334069921,0,0.013,0.786,0.201,0
2024-04-02,"Neuronia",0.1089328277,0.2238739151,0.1304899855,0.536703287,0.004,0.044,0.004,0.948
2024-04-02,"Quantumridge",0.3130244056,0.3493620858,0.3376134814,0,0.318,0.399,0.283,0
2024-04-02,"Voltagea",0.2611209012,0.3856807337,0.353198355,0,0.168,0.512,0.32,0
2024-04-03,"Amperville",0.11447560608,0.2393778236,0.646146561,0,0.004,0.048,0.948,0
2024-04-03,"Binaryshire",0.8785001793,0.0427003143503,0.07879950227,0,0.987,0.009,0.004,0
2024-04-03,"Byteforge Domain",0.4358258347,0.15443388704,0.40974027,0,0.523,0.047,0.43,0
2024-04-03,"Cerebrica",0.3454731375,0.2062874053,0.2671757527,0.181063705,0.56,0.14,0.258,0.042
2024-04-03,"Circuiton",0.1322390313,0.480535732,0.387225246,0,0,0.773,0.227,0
2024-04-03,"Cortexia",0.1169503465,0.228908718,0.303553472,0.350587466,0,0,0.032,0.968
2024-04-03,"Electropolis",0.2621398553,0.51120431,0.2266558291,0,0.113,0.872,0.015,0
2024-04-03,"Infinitron Peninsula",0.6384307463,0.1966329254,0.1649363392,0,0.884,0.107,0.009,0
2024-04-03,"Infoglen",0.337619072,0.335215103,0.327165824,0,0.409,0.391,0.2,0
2024-04-03,"Neuronia",0.1106561378,0.2255533875,0.1334074661,0.530383016,0.003,0.032,0.002,0.963
2024-04-03,"Quantumridge",0.3301105,0.3324228045,0.3374666758,0,0.366,0.371,0.263,0
2024-04-03,"Voltagea",0.2821686091,0.3655159963,0.352315385,0,0.209,0.46,0.331,0
2024-04-04,"Amperville",0.0878258559,0.291595328,0.620578818,0,0,0.094,0.906,0
2024-04-04,"Binaryshire",0.8551379675,0.0554541778583,0.08940786288,0,0.977,0.016,0.007,0
2024-04-04,"Byteforge Domain",0.361177705,0.2036113501,0.435210934,0,0.347,0.09,0.563,0
2024-04-04,"Cerebrica",0.3234911125,0.229701577,0.2851482308,0.1616590869,0.497,0.19,0.301,0.012
2024-04-04,"Circuiton",0.0939397676,0.554439689,0.351620546,0,0,1,0,0
2024-04-04,"Cortexia",0.1168165706,0.269153427,0.308084866,0.305945149,0,0.141,0.427,0.432
2024-04-04,"Electropolis",0.19216222276,0.600538848,0.2072989488,0,0.012,0.983,0.005,0
2024-04-04,"Infinitron Peninsula",0.5671304616,0.2572503886,0.1756191627,0,0.803,0.186,0.011,0
2024-04-04,"Infoglen",0.2594036012,0.421996782,0.318599603,0,0.079,0.82,0.101,0
2024-04-04,"Neuronia",0.105524399,0.2581875725,0.1426191497,0.493668879,0.003,0.094,0.002,0.901
2024-04-04,"Quantumridge",0.2627024371,0.4070613101,0.3302362543,0,0.223,0.519,0.258,0
2024-04-04,"Voltagea",0.209772012,0.454097591,0.336130385,0,0.045,0.746,0.209,0
2024-04-05,"Amperville",0.07781378157,0.3287492611,0.593436946,0,0,0.145,0.855,0
