"type_of_poll","date","pollster","geography","sample_size","party","value"
"state",2023-04-05,"No Province Left Behind","Binaryshire",500,"CC",398
"state",2023-04-05,"No Province Left Behind","Binaryshire",500,"DGM",15
"state",2023-04-05,"No Province Left Behind","Binaryshire",500,"PDAL",87
"state",2023-04-05,"No Province Left Behind","Binaryshire",500,"SSP",0
"state",2023-04-07,"Progressive Polling","Voltagea",1000,"CC",125
"state",2023-04-07,"Progressive Polling","Voltagea",1000,"DGM",324
"state",2023-04-07,"Progressive Polling","Voltagea",1000,"PDAL",551
"state",2023-04-07,"Progressive Polling","Voltagea",1000,"SSP",0
"state",2023-04-14,"Progressive Polling","Cerebrica",1000,"CC",212
"state",2023-04-14,"Progressive Polling","Cerebrica",1000,"DGM",244
"state",2023-04-14,"Progressive Polling","Cerebrica",1000,"PDAL",456
"state",2023-04-14,"Progressive Polling","Cerebrica",1000,"SSP",88
"state",2023-04-17,"No Province Left Behind","Amperville",500,"CC",17
"state",2023-04-17,"No Province Left Behind","Amperville",500,"DGM",108
"state",2023-04-17,"No Province Left Behind","Amperville",500,"PDAL",375
"state",2023-04-17,"No Province Left Behind","Amperville",500,"SSP",0
"state",2023-04-19,"Metaflux University","Binaryshire",1500,"CC",1329
"state",2023-04-19,"Metaflux University","Binaryshire",1500,"DGM",16
"state",2023-04-19,"Metaflux University","Binaryshire",1500,"PDAL",156
"state",2023-04-19,"Metaflux University","Binaryshire",1500,"SSP",0
"state",2023-04-20,"Metaflux University","Binaryshire",1500,"CC",1242
"state",2023-04-20,"Metaflux University","Binaryshire",1500,"DGM",36
"state",2023-04-20,"Metaflux University","Binaryshire",1500,"PDAL",222
"state",2023-04-20,"Metaflux University","Binaryshire",1500,"SSP",0
"state",2023-04-20,"Metaflux University","Infinitron Peninsula",1500,"CC",577
"state",2023-04-20,"Metaflux University","Infinitron Peninsula",1500,"DGM",598
"state",2023-04-20,"Metaflux University","Infinitron Peninsula",1500,"PDAL",326
"state",2023-04-20,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"state",2023-04-24,"No Province Left Behind","Amperville",500,"CC",32
"state",2023-04-24,"No Province Left Behind","Amperville",500,"DGM",79
"state",2023-04-24,"No Province Left Behind","Amperville",500,"PDAL",389
"state",2023-04-24,"No Province Left Behind","Amperville",500,"SSP",0
"state",2023-04-25,"Progressive Polling","Circuiton",1000,"CC",59
"state",2023-04-25,"Progressive Polling","Circuiton",1000,"DGM",317
"state",2023-04-25,"Progressive Polling","Circuiton",1000,"PDAL",624
"state",2023-04-25,"Progressive Polling","Circuiton",1000,"SSP",0
"state",2023-04-25,"Metaflux University","Quantumridge",1500,"CC",275
"state",2023-04-25,"Metaflux University","Quantumridge",1500,"DGM",581
"state",2023-04-25,"Metaflux University","Quantumridge",1500,"PDAL",644
"state",2023-04-25,"Metaflux University","Quantumridge",1500,"SSP",0
"state",2023-04-27,"Progressive Polling","Cerebrica",1000,"CC",224
"state",2023-04-27,"Progressive Polling","Cerebrica",1000,"DGM",221
"state",2023-04-27,"Progressive Polling","Cerebrica",1000,"PDAL",474
"state",2023-04-27,"Progressive Polling","Cerebrica",1000,"SSP",82
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"CC",644
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"DGM",516
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"PDAL",340
"state",2023-04-27,"Metaflux University","Infinitron Peninsula",1500,"SSP",0
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"CC",106
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"DGM",167
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"PDAL",227
"state",2023-04-27,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"CC",1282
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"DGM",25
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"PDAL",193
"state",2023-04-30,"Metaflux University","Binaryshire",1500,"SSP",0
