"type_of_poll","date","pollster","geography","sample_size","party","value"
"state",2019-04-02,"Progressive Polling","Voltagea",1000,"CC",76
"state",2019-04-02,"Progressive Polling","Voltagea",1000,"DGM",403
"state",2019-04-02,"Progressive Polling","Voltagea",1000,"PDAL",522
"state",2019-04-02,"Progressive Polling","Voltagea",1000,"SSP",0
"state",2019-04-03,"No Province Left Behind","Infinitron Peninsula",500,"CC",151
"state",2019-04-03,"No Province Left Behind","Infinitron Peninsula",500,"DGM",221
"state",2019-04-03,"No Province Left Behind","Infinitron Peninsula",500,"PDAL",128
"state",2019-04-03,"No Province Left Behind","Infinitron Peninsula",500,"SSP",0
"state",2019-04-04,"Progressive Polling","Voltagea",1000,"CC",69
"state",2019-04-04,"Progressive Polling","Voltagea",1000,"DGM",440
"state",2019-04-04,"Progressive Polling","Voltagea",1000,"PDAL",491
"state",2019-04-04,"Progressive Polling","Voltagea",1000,"SSP",0
"state",2019-04-04,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"CC",877
"state",2019-04-04,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"DGM",709
"state",2019-04-04,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"PDAL",414
"state",2019-04-04,"Cobolite Coalition Calling","Infinitron Peninsula",2000,"SSP",0
"state",2019-04-09,"Cobolite Coalition Calling","Amperville",2000,"CC",130
"state",2019-04-09,"Cobolite Coalition Calling","Amperville",2000,"DGM",277
"state",2019-04-09,"Cobolite Coalition Calling","Amperville",2000,"PDAL",1593
"state",2019-04-09,"Cobolite Coalition Calling","Amperville",2000,"SSP",0
"state",2019-04-10,"No Province Left Behind","Amperville",500,"CC",21
"state",2019-04-10,"No Province Left Behind","Amperville",500,"DGM",114
"state",2019-04-10,"No Province Left Behind","Amperville",500,"PDAL",366
"state",2019-04-10,"No Province Left Behind","Amperville",500,"SSP",0
"state",2019-04-14,"No Province Left Behind","Amperville",500,"CC",17
"state",2019-04-14,"No Province Left Behind","Amperville",500,"DGM",83
"state",2019-04-14,"No Province Left Behind","Amperville",500,"PDAL",400
"state",2019-04-14,"No Province Left Behind","Amperville",500,"SSP",0
"state",2019-04-16,"No Province Left Behind","Quantumridge",500,"CC",76
"state",2019-04-16,"No Province Left Behind","Quantumridge",500,"DGM",193
"state",2019-04-16,"No Province Left Behind","Quantumridge",500,"PDAL",231
"state",2019-04-16,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2019-04-17,"Metaflux University","Byteforge Domain",1500,"CC",465
"state",2019-04-17,"Metaflux University","Byteforge Domain",1500,"DGM",266
"state",2019-04-17,"Metaflux University","Byteforge Domain",1500,"PDAL",768
"state",2019-04-17,"Metaflux University","Byteforge Domain",1500,"SSP",0
"state",2019-04-18,"Metaflux University","Quantumridge",1500,"CC",217
"state",2019-04-18,"Metaflux University","Quantumridge",1500,"DGM",603
"state",2019-04-18,"Metaflux University","Quantumridge",1500,"PDAL",680
"state",2019-04-18,"Metaflux University","Quantumridge",1500,"SSP",0
"state",2019-04-21,"No Province Left Behind","Quantumridge",500,"CC",58
"state",2019-04-21,"No Province Left Behind","Quantumridge",500,"DGM",179
"state",2019-04-21,"No Province Left Behind","Quantumridge",500,"PDAL",263
"state",2019-04-21,"No Province Left Behind","Quantumridge",500,"SSP",0
"state",2019-04-24,"Metaflux University","Byteforge Domain",1500,"CC",409
"state",2019-04-24,"Metaflux University","Byteforge Domain",1500,"DGM",236
"state",2019-04-24,"Metaflux University","Byteforge Domain",1500,"PDAL",855
"state",2019-04-24,"Metaflux University","Byteforge Domain",1500,"SSP",0
"state",2019-04-24,"No Province Left Behind","Infinitron Peninsula",500,"CC",115
"state",2019-04-24,"No Province Left Behind","Infinitron Peninsula",500,"DGM",240
"state",2019-04-24,"No Province Left Behind","Infinitron Peninsula",500,"PDAL",145
"state",2019-04-24,"No Province Left Behind","Infinitron Peninsula",500,"SSP",0
"state",2019-04-27,"Metaflux University","Binaryshire",1500,"CC",1211
"state",2019-04-27,"Metaflux University","Binaryshire",1500,"DGM",37
"state",2019-04-27,"Metaflux University","Binaryshire",1500,"PDAL",252
"state",2019-04-27,"Metaflux University","Binaryshire",1500,"SSP",0
"state",2019-04-28,"Proudly Paid For Polling","Amperville",1000,"CC",38
"state",2019-04-28,"Proudly Paid For Polling","Amperville",1000,"DGM",136
"state",2019-04-28,"Proudly Paid For Polling","Amperville",1000,"PDAL",826
"state",2019-04-28,"Proudly Paid For Polling","Amperville",1000,"SSP",0
"state",2019-04-28,"Proudly Paid For Polling","Neuronia",1000,"CC",20
"state",2019-04-28,"Proudly Paid For Polling","Neuronia",1000,"DGM",278
"state",2019-04-28,"Proudly Paid For Polling","Neuronia",1000,"PDAL",127
"state",2019-04-28,"Proudly Paid For Polling","Neuronia",1000,"SSP",574
"state",2019-04-29,"No Province Left Behind","Amperville",500,"CC",20
"state",2019-04-29,"No Province Left Behind","Amperville",500,"DGM",67
"state",2019-04-29,"No Province Left Behind","Amperville",500,"PDAL",413
"state",2019-04-29,"No Province Left Behind","Amperville",500,"SSP",0
"state",2019-04-30,"Dataland Register-Gazette","Byteforge Domain",1500,"CC",469
"state",2019-04-30,"Dataland Register-Gazette","Byteforge Domain",1500,"DGM",209
"state",2019-04-30,"Dataland Register-Gazette","Byteforge Domain",1500,"PDAL",822
"state",2019-04-30,"Dataland Register-Gazette","Byteforge Domain",1500,"SSP",0
"state",2019-04-30,"Proudly Paid For Polling","Infinitron Peninsula",1000,"CC",277
"state",2019-04-30,"Proudly Paid For Polling","Infinitron Peninsula",1000,"DGM",393
"state",2019-04-30,"Proudly Paid For Polling","Infinitron Peninsula",1000,"PDAL",330
"state",2019-04-30,"Proudly Paid For Polling","Infinitron Peninsula",1000,"SSP",0
"state",2019-05-01,"Dataland Register-Gazette","Cerebrica",1500,"CC",290
"state",2019-05-01,"Dataland Register-Gazette","Cerebrica",1500,"DGM",679
"state",2019-05-01,"Dataland Register-Gazette","Cerebrica",1500,"PDAL",447
"state",2019-05-01,"Dataland Register-Gazette","Cerebrica",1500,"SSP",84
"state",2019-05-06,"Proudly Paid For Polling","Quantumridge",1000,"CC",132
"state",2019-05-06,"Proudly Paid For Polling","Quantumridge",1000,"DGM",420
"state",2019-05-06,"Proudly Paid For Polling","Quantumridge",1000,"PDAL",448
"state",2019-05-06,"Proudly Paid For Polling","Quantumridge",1000,"SSP",0
"state",2019-05-06,"Cobolite Coalition Calling","Amperville",2000,"CC",152
"state",2019-05-06,"Cobolite Coalition Calling","Amperville",2000,"DGM",291
"state",2019-05-06,"Cobolite Coalition Calling","Amperville",2000,"PDAL",1556
"state",2019-05-06,"Cobolite Coalition Calling","Amperville",2000,"SSP",0
"state",2019-05-06,"Proudly Paid For Polling","Amperville",1000,"CC",48
"state",2019-05-06,"Proudly Paid For Polling","Amperville",1000,"DGM",165
"state",2019-05-06,"Proudly Paid For Polling","Amperville",1000,"PDAL",787
"state",2019-05-06,"Proudly Paid For Polling","Amperville",1000,"SSP",0
"state",2019-05-06,"Dataland Register-Gazette","Circuiton",1500,"CC",103
"state",2019-05-06,"Dataland Register-Gazette","Circuiton",1500,"DGM",707
"state",2019-05-06,"Dataland Register-Gazette","Circuiton",1500,"PDAL",690
"state",2019-05-06,"Dataland Register-Gazette","Circuiton",1500,"SSP",0
"state",2019-05-07,"Progressive Polling","Circuiton",1000,"CC",57
"state",2019-05-07,"Progressive Polling","Circuiton",1000,"DGM",387
"state",2019-05-07,"Progressive Polling","Circuiton",1000,"PDAL",556
"state",2019-05-07,"Progressive Polling","Circuiton",1000,"SSP",0
"state",2019-05-07,"No Province Left Behind","Infinitron Peninsula",500,"CC",127
"state",2019-05-07,"No Province Left Behind","Infinitron Peninsula",500,"DGM",226
"state",2019-05-07,"No Province Left Behind","Infinitron Peninsula",500,"PDAL",148
"state",2019-05-07,"No Province Left Behind","Infinitron Peninsula",500,"SSP",0
"state",2019-05-09,"Metaflux University","Binaryshire",1500,"CC",1161
"state",2019-05-09,"Metaflux University","Binaryshire",1500,"DGM",52
